Text,Datetime,Location,Hashtags,polarity,subjectivity
anc 6527 da 1637 cope744 ifp 502 id 097 vf 092 udm 090 saelections 70votes counted,2022-11-29 17:45:34,Pretoria,"['ANC', 'DA', 'COPE', 'IFP', 'ID', 'VF', 'UDM', 'saelections']",0.0,0.0
anc6527da1637cope744saelectionsanc,2022-11-29 17:38:53,Pretoria,"['ANC', 'saelections']",0.0,0.0
rt lol anc election poster stencil,2022-11-29 08:51:32,"Cape Town, South Africa",['anc'],0.8,0.7
lol anc election poster stencil,2022-11-29 08:46:08,"Johannesburg, South Africa",['anc'],0.8,0.7
domestic worker says motherwell pe anc going door2door offering buy peoples groceries 2 get vote,2022-11-29 14:56:07,"Cape Town, South Africa",['ANC'],0.0,0.1
rt domestic worker says motherwell pe anc going door2door offering buy people groceries 4 thr vote saelections,2022-11-29 11:57:47,cape town,"['ANC', 'saelections']",0.0,0.1
domestic worker says motherwell pe anc going door2door offering buy peoples groceries 2 get vote saelections,2022-11-29 11:34:55,"Cape Town, South Africa","['ANC', 'saelections']",0.0,0.1
retweet regards sapolitics shall vote anc cant cope excellent slogan tshirt material,2022-11-29 19:14:12,"Cape Town, South Africa","['SApolitics', 'ANC']",1.0,1.0
anc 6527 da 1637 cope744 ifp 502 id 097 vf 092 udm 090 saelections 70votes counted,2022-11-29 17:45:34,Pretoria,"['ANC', 'DA', 'COPE', 'IFP', 'ID', 'VF', 'UDM', 'saelections']",0.0,0.0
10000 south africans voted overseas 77 da think shouldve voted,2022-11-29 08:12:01,"Cape Town, South Africa",['DA'],0.0,0.0
voted sandton sports club 12min queue super friendly iec staff go go gadget zille baby saelections da,2022-11-29 18:55:37,"Johannesburg, South Africa","['IEC', 'saelections', 'DA']",0.3541666666666666,0.5833333333333333
suck politician shots cellphone attached tony leon caramellos kloof str saelections da,2022-11-29 15:06:11,Cape Town,"['saelections', 'da']",0.0,0.0
rt another sms vanilla shriller da time afrikaans seriously guys enough already saelections,2022-11-29 13:16:51,Cape Town,"['DA', 'saelections']",-0.1666666666666666,0.5833333333333333
another sms vanilla shriller da time afrikaans seriously guys enough already saelections,2022-11-29 13:11:44,"Cape Town, South Africa","['DA', 'saelections']",-0.1666666666666666,0.5833333333333333
still vote unless something drastic happens next 15 min da,2022-11-29 09:10:33,"Johannesburg, South Africa",['DA'],0.0,0.0
mrs zille says back move npa hopes da saelections,2022-11-29 17:52:08,"Cape Town, South Africa","['DA', 'saelections']",0.0,0.0
da public address benoni town hall try tweet happenings da saelections,2022-11-29 17:03:16,"Cape Town, South Africa","['DA', 'saelections']",0.0,0.0666666666666666
dear party get number think unconstitutional ask im going vote da fail,2022-11-29 04:59:28,South Africa,"['DA', 'fail']",-0.5,0.2999999999999999
rt hear malema lot say today matter every time opens mouth da gets votes,2022-11-29 17:59:16,Cape Town,"['Malema', 'DA']",0.0,0.0
anc 6527 da 1637 cope744 ifp 502 id 097 vf 092 udm 090 saelections 70votes counted,2022-11-29 17:45:34,Pretoria,"['ANC', 'DA', 'COPE', 'IFP', 'ID', 'VF', 'UDM', 'saelections']",0.0,0.0
